Serviço: ED-48151;ABERTURA MANUAL DE POÇO COMPROFUNDIDADE <= 2,00M, DIÂMETRO DE 1,20M, INCLUSIVEAFASTAMENTO DO MATERIAL ESCAVADO;Unidade: m     ;Observações: ABE-POC-005;1,0000
Serviço: ED-48152;ABERTURA MANUAL DE POÇO COMPROFUNDIDADE > 2,00M, DIÂMETRO DE 1,20M, INCLUSIVEAFASTAMENTO DO MATERIAL ESCAVADO;Unidade: m     ;Observações: ABE-POC-010;1,0000
Serviço: ED-51012;ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA DUAS DESCIDA 1 1/2";Unidade: U     ;;1,0000
Serviço: ED-51013;ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA DUAS DESCIDA 2";Unidade: U     ;;1,0000
Serviço: ED-51010;ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA UMA DESCIDA 1 1/2";Unidade: U     ;;1,0000
Serviço: ED-51011;ABRAÇADEIRA GUIA PARA MASTROS SIMPLES PARA UMA DESCIDA 2";Unidade: U     ;;1,0000
Serviço: ED-50178;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTADE AÇO CARBONO, COMPLETO, VIDRO TRANSPARENTE, COM AINSCRIÇÃO "INCÊNDIO", SUPORTE BASCULANTE PARAMANGUEIRA PINTADO DE VERMELHO NAS DIMENSÕES 45 X 60 X17 CM;Unidade: U     ;;1,0000
Serviço: ED-50179;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTADE AÇO CARBONO, COMPLETO, VIDRO TRANSPARENTE, COM AINSCRIÇÃO "INCÊNDIO", SUPORTE BASCULANTE PARAMANGUEIRA PINTADO DE VERMELHO NAS DIMENSÕES 75 X 30 X25 CM;Unidade: U     ;;1,0000
Serviço: ED-50177;ABRIGO EM CHAPA TIPO EXTERNO 1 PORTADE AÇO CARBONO, COMPLETO, VIDRO TRANSPARENTE, COM AINSCRIÇÃO "INCÊNDIO", SUPORTE BASCULANTE PARAMANGUEIRA PINTADO DE VERMELHO NAS DIMENSÕES 90 X 60 X17 CM;Unidade: U     ;;1,0000
Serviço: ED-50832;AC-ARMÁRIO (71 x 52 x 350 cm) EM MADEIRAMACIÇA, COM PORTAS E PUXADORES, SOB BANCADA DOLABORATORIO COM PRATELEIRA, REVESTIDO EM LAMINADOMELAMÍNICO;Unidade: cj    ;;1,0000
Serviço: ED-50180;ACIONADOR MANUAL DE ALARME DEINCÊNDIO;Unidade: un    ;;1,0000
Serviço: ED-50181;ADAPTADOR EM LATAO P/ INSTALACAOPREDIAL DE COMBATE A INCENDIO ENGATE RAPIDO 1 1/2" XROSCA INTERNA 5 FIOS 2 1/2";Unidade: U     ;;1,0000
